Year,State,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Family,Acquaintance,Stranger,Unknown,Firearm,Knife,Blunt object,Personal,Other/unknown Weapon,One offender involved,Two or more offenders involved,Unknown number of offenders involved
1980,AL,0,18,13,5,0,7,10,1,0,0,5,9,4,0,15,3,0,0,0,15,3,0
1981,AL,0,21,19,1,0,13,8,0,0,0,8,8,5,0,13,8,0,0,0,11,10,0
1982,AL,1,19,15,4,0,5,14,0,0,0,6,7,6,0,7,5,2,2,3,13,6,0
1983,AL,2,20,21,1,0,7,15,0,0,0,7,11,4,0,13,7,0,1,1,16,6,0
1984,AL,0,21,19,2,0,7,13,0,0,0,4,9,5,2,12,3,0,4,1,10,10,0
1985,AL,0,29,23,5,0,8,20,0,0,0,3,22,3,0,24,4,0,0,0,14,14,0
1986,AL,0,27,23,4,0,9,18,0,0,0,6,14,6,0,15,7,0,2,2,18,9,0
1987,AL,0,14,10,3,0,3,10,0,0,0,3,10,0,0,9,5,0,0,0,10,3,0
1988,AL,0,23,21,2,0,9,15,0,0,0,5,15,3,0,16,6,1,0,0,14,10,0
1989,AL,2,38,38,2,0,6,33,0,0,0,7,21,11,0,35,4,0,0,0,33,6,0
1990,AL,0,34,32,2,0,10,24,0,0,0,5,25,4,0,27,3,2,0,2,22,11,0
1991,AL,0,26,24,1,1,0,24,0,0,2,2,17,5,1,25,0,0,1,0,6,19,0
1992,AL,1,20,16,2,2,2,16,0,0,2,3,8,7,2,19,1,1,0,0,21,0,0
1993,AL,0,26,25,1,0,5,20,0,0,0,4,12,7,2,21,1,0,0,3,26,0,0
1994,AL,0,25,24,1,0,4,21,0,0,0,3,15,4,3,20,2,0,0,3,25,0,0
1995,AL,0,13,13,0,0,1,12,0,0,0,2,4,4,3,11,2,0,0,0,13,0,0
1996,AL,0,21,19,2,0,2,19,0,0,0,1,15,4,1,16,3,0,2,0,20,1,0
1997,AL,0,22,21,1,0,4,18,0,0,0,2,17,0,3,20,2,0,0,0,18,4,0
1998,AL,1,16,15,2,0,4,12,0,0,0,3,4,1,8,12,1,1,0,2,17,0,0
2000,AL,0,6,6,0,0,0,6,0,0,0,1,3,1,0,3,1,0,0,1,6,0,0
2001,AL,0,24,22,2,0,8,16,0,0,0,5,4,3,11,16,3,0,2,2,22,2,0
2002,AL,0,12,11,1,0,4,7,0,0,0,2,3,0,6,6,2,0,1,2,12,0,0
2003,AL,0,11,10,0,1,2,8,0,0,1,2,5,2,2,9,1,0,0,1,11,0,0
2004,AL,0,6,4,1,1,2,3,0,0,1,0,3,0,3,5,1,0,0,0,6,0,0
2005,AL,0,10,10,0,0,2,8,0,0,0,1,6,0,3,7,0,0,1,2,10,0,0
2006,AL,0,15,15,0,0,1,13,0,1,0,2,8,0,5,13,1,0,0,1,12,3,0
2007,AL,0,22,21,1,0,0,22,0,0,0,2,9,7,4,20,1,1,0,0,16,6,0
2008,AL,0,14,14,0,0,3,10,0,0,0,0,5,3,5,11,0,0,2,0,11,2,0
2009,AL,0,14,14,0,0,5,8,0,0,1,4,3,3,4,12,1,0,0,1,14,0,0
2010,AL,0,4,4,0,0,0,3,1,0,0,0,0,0,4,4,0,0,0,0,4,0,0
1980,AK,0,2,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,2,0,0
1981,AK,0,3,3,0,0,3,0,0,0,0,2,1,0,0,2,1,0,0,0,3,0,0
1982,AK,0,9,7,2,0,6,0,3,0,0,2,3,3,0,3,2,3,0,0,6,3,0
1983,AK,1,2,3,0,0,1,0,2,0,0,2,1,0,0,3,0,0,0,0,3,0,0
1984,AK,0,6,6,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0
1985,AK,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1986,AK,1,2,3,0,0,0,0,3,0,0,1,2,0,0,2,0,1,0,0,2,1,0
1987,AK,0,2,2,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0
1988,AK,0,4,4,0,0,4,0,0,0,0,1,1,2,0,4,0,0,0,0,2,2,0
1989,AK,0,2,2,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0
1990,AK,0,3,3,0,0,3,0,0,0,0,1,2,0,0,3,0,0,0,0,3,0,0
1991,AK,0,3,2,1,0,1,1,1,0,0,2,1,0,0,2,1,0,0,0,2,1,0
1992,AK,0,3,3,0,0,2,1,0,0,0,0,2,1,0,2,1,0,0,0,3,0,0
1993,AK,0,5,5,0,0,4,0,0,1,0,0,1,4,0,4,1,0,0,0,3,2,0
1994,AK,0,9,9,0,0,6,1,1,1,0,1,5,3,0,9,0,0,0,0,4,5,0
1995,AK,0,2,2,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0
1996,AK,0,2,2,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0
1997,AK,0,7,7,0,0,2,0,3,1,0,0,7,0,0,6,0,0,1,0,1,6,0
1998,AK,0,7,7,0,0,3,2,1,0,0,1,1,5,0,5,2,0,0,0,5,2,0
1999,AK,1,6,7,0,0,3,0,4,0,0,1,4,1,1,6,1,0,0,0,4,3,0
2000,AK,0,2,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0
2001,AK,0,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
2002,AK,0,5,5,0,0,3,1,1,0,0,2,3,0,0,2,1,0,1,1,4,1,0
2003,AK,0,2,2,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,0
2004,AK,0,3,3,0,0,1,1,1,0,0,1,2,0,0,1,0,1,1,0,3,0,0
2005,AK,0,3,2,1,0,2,0,0,1,0,0,2,1,0,3,0,0,0,0,2,1,0
2006,AK,0,2,2,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0
2007,AK,0,4,4,0,0,0,1,3,0,0,1,2,1,0,3,0,0,1,0,4,0,0
2008,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AK,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2010,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,AK,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2012,AK,1,1,2,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0
2013,AK,0,2,2,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,2,0,0
2014,AK,0,5,5,0,0,4,0,1,0,0,0,4,1,0,3,1,0,0,1,3,2,0
2015,AK,0,2,2,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,2,0
2016,AK,0,9,9,0,0,7,1,1,0,0,3,5,1,0,8,0,1,0,0,5,4,0
2017,AK,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2018,AK,0,5,5,0,0,1,2,1,1,0,0,1,4,0,5,0,0,0,0,2,3,0
2019,AK,0,5,4,1,0,2,1,2,0,0,1,3,1,0,5,0,0,0,0,2,3,0
2020,AK,0,3,3,0,0,0,2,1,0,0,0,3,0,0,3,0,0,0,0,1,2,0
1980,AZ,0,21,20,1,0,17,4,0,0,0,1,15,5,0,17,4,0,0,0,12,9,0
1981,AZ,0,10,10,0,0,10,0,0,0,0,2,4,2,2,8,2,0,0,0,9,1,0
1982,AZ,0,14,13,1,0,12,1,1,0,0,1,8,5,0,6,3,3,2,0,8,6,0
1983,AZ,0,10,10,0,0,10,0,0,0,0,1,6,3,0,6,2,0,2,0,7,3,0
1984,AZ,1,15,15,1,0,13,2,1,0,0,2,8,4,2,6,7,0,2,1,12,4,0
1985,AZ,0,10,10,0,0,6,2,2,0,0,0,10,0,0,2,3,3,1,1,6,4,0
1986,AZ,0,24,22,2,0,20,1,3,0,0,0,16,8,0,9,10,5,0,0,12,12,0
1987,AZ,0,8,7,1,0,6,2,0,0,0,3,4,1,0,7,0,0,1,0,7,1,0
1988,AZ,0,18,18,0,0,15,3,0,0,0,3,11,4,0,9,0,4,3,2,8,10,0
1989,AZ,1,11,11,0,0,6,4,2,0,0,2,6,3,1,9,1,1,0,1,8,4,0
1990,AZ,0,18,17,1,0,13,4,1,0,0,1,8,8,1,12,3,1,2,0,14,4,0
1991,AZ,2,16,17,1,0,13,1,4,0,0,3,6,3,5,9,4,2,3,0,7,11,0
1992,AZ,0,28,25,3,0,24,2,2,0,0,2,12,12,1,22,4,1,0,1,18,9,0
1993,AZ,0,36,33,3,0,23,13,0,0,0,0,20,14,2,31,3,2,0,0,13,23,0
1994,AZ,0,57,51,6,0,39,13,3,0,2,1,26,28,1,53,1,2,0,1,19,38,0
1995,AZ,0,32,30,2,0,28,3,0,0,1,3,16,11,1,27,2,1,2,0,23,9,0
1996,AZ,0,34,29,4,0,28,4,1,0,0,2,19,13,0,24,2,3,4,0,23,11,0
1997,AZ,0,21,20,1,0,15,6,0,0,0,1,10,9,0,18,1,1,1,0,15,6,0
1998,AZ,0,20,17,3,0,19,0,1,0,0,3,9,7,0,12,0,2,3,2,8,11,0
1999,AZ,0,18,18,0,0,14,3,0,1,0,3,6,9,0,10,5,3,0,0,12,6,0
2000,AZ,0,12,11,1,0,7,3,2,0,0,3,6,3,0,6,3,1,2,0,10,2,0
2001,AZ,0,14,13,1,0,11,2,1,0,0,3,6,5,0,11,2,1,0,0,11,3,0
2002,AZ,0,8,8,0,0,5,2,1,0,0,1,3,4,0,7,1,0,0,0,7,1,0
2003,AZ,0,17,17,0,0,13,4,0,0,0,1,10,6,0,13,2,0,2,0,10,7,0
2004,AZ,0,19,19,0,0,12,5,1,1,0,1,6,12,0,13,2,2,2,0,9,10,0
2005,AZ,0,17,16,1,0,10,4,3,0,0,1,8,8,0,10,6,1,0,0,9,8,0
2006,AZ,0,18,16,2,0,15,2,0,1,0,3,9,6,0,13,3,1,1,0,11,7,0
2007,AZ,0,18,18,0,0,14,4,0,0,0,0,16,2,0,15,2,0,0,1,10,8,0
2008,AZ,0,24,21,3,0,21,3,0,0,0,4,7,13,0,19,3,2,0,0,10,14,0
2009,AZ,0,8,8,0,0,8,0,0,0,0,0,3,4,0,4,3,0,0,0,3,4,0
2010,AZ,0,13,10,2,0,9,1,0,0,2,2,6,2,2,6,3,2,0,1,6,7,0
2011,AZ,0,14,14,0,0,12,2,0,0,0,1,10,2,1,7,5,1,0,1,10,5,0
2012,AZ,0,7,6,1,0,7,0,0,0,0,0,2,3,1,6,1,0,0,0,3,3,0
2013,AZ,0,15,15,0,0,13,2,0,0,0,1,9,5,0,8,4,4,0,0,4,12,0
2014,AZ,0,11,9,2,0,9,2,0,0,0,4,7,0,0,5,1,1,2,1,9,2,0
2015,AZ,0,6,4,1,0,3,2,0,0,0,0,3,0,2,3,1,1,0,0,3,2,0
2016,AZ,0,11,11,0,0,7,2,2,0,0,1,8,2,0,6,4,1,0,0,8,3,0
2017,AZ,0,17,13,4,0,10,5,2,0,0,0,8,7,2,11,2,0,3,1,8,9,0
2018,AZ,1,19,18,2,0,8,8,3,0,0,1,9,6,3,14,0,1,0,4,5,14,0
2019,AZ,0,11,11,0,0,8,1,0,0,2,1,3,2,4,9,2,0,0,0,5,5,0
2020,AZ,0,24,24,0,0,18,2,4,0,0,1,7,13,2,18,4,1,0,1,11,13,0
1980,AR,0,20,16,4,0,14,6,0,0,0,8,8,3,0,18,1,0,0,1,12,7,0
1981,AR,1,3,4,0,0,2,2,0,0,0,2,2,0,0,3,1,0,0,0,3,1,0
1982,AR,0,3,3,0,0,1,2,0,0,0,0,3,0,0,2,1,0,0,0,1,2,0
1983,AR,0,11,10,1,0,9,2,0,0,0,4,4,3,0,4,4,1,0,2,5,6,0
1984,AR,0,12,7,5,0,6,6,0,0,0,6,2,4,0,7,1,1,0,3,7,5,0
1985,AR,0,14,11,3,0,6,8,0,0,0,4,7,3,0,7,5,1,1,0,7,7,0
1986,AR,0,10,8,2,0,6,4,0,0,0,1,6,3,0,7,2,1,0,0,7,3,0
1987,AR,0,11,11,0,0,7,4,0,0,0,2,7,2,0,8,2,0,1,0,8,3,0
1988,AR,0,12,12,0,0,6,6,0,0,0,3,6,3,0,6,4,2,0,0,4,8,0
1989,AR,0,15,15,0,0,2,13,0,0,0,1,10,4,0,9,1,4,0,1,10,5,0
1990,AR,0,32,31,1,0,11,21,0,0,0,3,13,16,0,25,0,2,0,5,10,22,0
1991,AR,0,34,31,2,0,10,23,0,0,0,7,22,4,0,19,5,1,1,7,16,17,0
1992,AR,0,38,35,3,0,7,31,0,0,0,3,27,8,0,35,2,1,0,0,24,15,0
1993,AR,0,36,34,2,0,5,31,0,0,0,1,17,17,1,25,3,1,6,1,11,25,0
1994,AR,0,50,49,1,0,4,46,0,0,0,2,32,15,1,45,2,1,0,2,14,36,0
1995,AR,0,37,35,2,0,8,29,0,0,0,4,23,6,4,33,1,0,3,0,20,17,0
1996,AR,0,23,22,1,0,8,15,0,0,0,2,15,6,0,19,2,0,1,1,9,14,0
1997,AR,0,13,11,2,0,4,9,0,0,0,2,5,6,0,10,1,0,1,1,7,6,0
1998,AR,1,20,16,5,0,10,11,0,0,0,5,10,6,0,15,2,0,0,4,7,14,0
