Year,State,Less than a high school diploma,High school diploma only,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only
1980,AL,5254,2611,59.5,29.6
1980,AL,11666,7011,53.9,32.4
1980,AL,9678,5578,54,31.1
1980,AL,141531,132921,35.3,33.1
1980,AL,11841,7947,50.1,33.6
1980,AL,13473,11735,36.4,31.7
1980,AL,21870,12652,54.4,31.5
1980,AZ,220040,307465,25,34.9
1980,AZ,22493,16011,45,32
1980,AR,13778,7451,53.8,29.1
1980,CA,162536,215093,24,31.7
1980,CA,73252,129454,18.3,32.3
1980,CA,10246,20478,18.8,37.7
1980,CA,1336041,1336165,30.2,30.2
1980,CA,15133,36832,10.1,24.6
1980,CA,221997,360814,19.6,31.9
1980,CA,16277,26147,22.6,36.2
1980,CA,125066,139431,31.1,34.7
1980,CA,102522,159194,22,34.2
1980,CA,6015,3696,43.5,26.7
1980,CA,146148,180774,29,35.8
1980,CA,236104,355635,22,33.1
1980,CA,124793,120456,26,25.1
1980,CA,69840,119239,18.4,31.5
1980,CA,154450,217564,20.5,28.9
1980,CA,16314,17837,26.5,29
1980,CO,34675,57185,26.5,43.7
1980,CO,19523,54421,11.4,31.8
1980,CO,546,1531,12.3,34.5
1980,CO,78298,93134,25.3,30.1
1980,CO,1665,5191,11.5,35.7
1980,CO,938,1796,23.3,44.7
1980,CO,206,527,13,33.2
1980,CO,29824,78198,13.8,36.1
1980,CO,571,1228,17.7,38
1980,CT,150629,172412,30.3,34.7
1980,CT,21520,28988,26.9,36.2
1980,CT,14661,22798,23.2,36.1
1980,DE,63865,82914,27.6,35.9
1980,DC,131277,101817,32.9,25.5
1980,FL,4057,2903,49.3,35.3
1980,FL,207702,263549,29.6,37.5
1980,FL,9901,14533,26.3,38.6
1980,FL,109223,117321,33.2,35.7
1980,FL,12676,11954,40.1,37.8
1980,FL,131178,134571,34.2,35
1980,FL,27532,25201,38.2,34.9
1980,FL,377497,319136,36,30.4
1980,FL,7654,6886,41.9,37.7
1980,FL,81017,99504,29.6,36.3
1980,FL,11978,11738,38.6,37.8
1980,FL,116364,140957,29.3,35.5
1980,FL,63432,52929,44.2,36.9
1980,FL,166139,189108,31.7,36.1
1980,FL,10830,11227,34,35.3
1980,FL,25723,39010,23.8,36.1
1980,GA,7656,2683,62.3,21.8
1980,GA,14009,5948,60.1,25.5
1980,GA,4295,2228,56.4,29.3
1980,GA,16452,8145,53.1,26.3
1980,GA,13980,8768,47.9,30.1
1980,GA,27152,32632,33.5,40.2
1980,GA,48227,53420,27.7,30.7
1980,GA,12251,6038,53.9,26.5
1980,GA,1790,724,63.3,25.6
1980,GA,65035,79330,23.1,28.2
1980,GA,12754,10953,42.6,36.6
1980,GA,4524,6304,26.7,37.2
1980,GA,7848,4914,49.2,30.8
1980,GA,118339,92138,34,26.5
1980,GA,26891,31351,28.3,32.9
1980,GA,6380,2888,58,26.2
1980,GA,2426,849,64.5,22.6
1980,GA,9559,6936,45.6,33.1
1980,GA,2583,1071,58.6,24.3
1980,GA,3834,1914,54.3,27.1
1980,GA,7191,2966,60.6,25
1980,GA,3780,1405,58.9,21.9
1980,GA,10480,5242,54.9,27.5
1980,GA,8529,4380,58.3,30
1980,GA,4368,1591,62.1,22.6
1980,GA,2771,1503,53.1,28.8
1980,GA,7594,7420,36.6,35.7
1980,GA,15244,7064,55.6,25.8
1980,GA,10836,4124,62,23.6
1980,IL,4273,3298,44.7,34.5
1980,IL,1940,1224,53.2,33.6
1980,IL,8073,6933,44.7,38.4
1980,IL,1112739,976980,35.7,31.4
1980,IL,8983,13493,24.8,37.2
1980,IL,64804,128369,16.9,33.4
1980,IL,5874,8216,33.3,46.5
1980,IL,4721,4665,40.7,40.3
1980,IL,45904,58491,29.4,37.5
1980,IL,4730,9602,23.1,46.9
1980,IL,55019,83230,22.4,33.9
1980,IL,21371,33936,25.1,39.9
1980,IL,11982,13031,39.7,43.2
1980,IL,54604,57481,37.2,39.1
1980,IL,4803,5085,40.2,42.6
1980,IL,60955,50382,40.9,33.8
1980,IL,52832,71149,29.8,40.2
1980,IN,5517,9823,25.5,45.4
1980,IN,2492,2815,33.4,37.7
1980,IN,18465,20752,36.4,40.9
1980,IN,7710,8289,39.3,42.2
1980,IN,13438,14581,37.4,40.6
1980,IN,9188,17755,19.4,37.4
1980,IN,6615,12117,26.5,48.6
1980,IN,5793,7073,37.5,45.8
1980,IN,9360,18954,23.6,47.7
1980,IN,4953,6278,35.7,45.2
1980,IN,12611,19171,29.2,44.3
1980,IN,106435,119450,36.7,41.1
1980,IN,28805,35915,35.5,44.2
1980,IN,144440,163470,32.5,36.8
1980,IN,10247,13362,35.1,45.7
1980,IN,2963,3882,35.2,46.2
1980,IN,1385,1252,45.8,41.4
1980,IN,16517,29631,25.5,45.7
1980,IN,4900,7862,30,48.1
1980,IN,5842,4173,51.4,36.7
1980,IN,8416,10431,36.6,45.3
1980,IN,1495,1717,37.8,43.4
1980,IN,5996,4890,48,39.1
1980,KS,18245,52591,11.2,32.3
1980,KS,8897,12950,27.9,40.5
1980,KS,1989,2378,36.7,43.9
1980,KS,4145,5999,31.6,45.7
1980,KS,37420,38924,38.2,39.7
1980,KY,8706,10418,34.7,41.5
1980,KY,2606,1542,56.3,33.3
1980,KY,10428,8722,47,39.3
1980,KY,21188,17129,44.4,35.9
1980,KY,1569,827,56.8,30
1980,KY,3889,2729,51,35.8
1980,KY,3816,2766,49.1,35.6
